"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2023-12-10T01:03:31.000Z","text","girls are MEAN","","","","",""
"2023-12-10T01:03:20.000Z","text","the girls group chat is the scariest place in the world after a night out","","","","","1"
"2023-12-10T00:04:46.000Z","text","That’s racist","","","","","1"
"2023-12-09T23:38:51.000Z","image","So beautiful..I love crystal mall food","","https://pbs.twimg.com/media/GA8ZaPfboAAFnKv?format=jpg&name=medium","","","1"
"2023-12-09T12:26:29.000Z","text","Ugh I hate alcohol I’m never drinking again","","","3","",""
"2023-12-09T09:00:47.000Z","text","Every time I’m in a club I regret it without fail","","","1","",""
"2023-12-08T02:06:08.000Z","text","Explaining vision boarding and manifestation to my millennial 35 year old cousin and she’s looking at me like I’m insane","","","1","",""
"2023-12-07T17:31:14.000Z","text","Oh so just because you’re a billionaire that means you cant code anymore? This tweet is dumb","","","","",""
"2023-12-07T16:59:24.000Z","text","Who wants to try Panera charged lemonade with me","","","1","",""
"2023-12-07T16:58:41.000Z","text","MY OWALA GOT STOLEN!!! Girl on girl crime 😡","","","2","",""
"2023-12-07T04:57:21.000Z","video","like holy moly professor ningning’s cuntology 101 is in session…she’s so unrealversace ningning for love your w celeb fashion film","blob:https://twitter.com/b25964f4-3586-4fa1-8343-3e5eed2cd5cf","https://pbs.twimg.com/ext_tw_video_thumb/1730851864088887296/pu/img/TCszwgmzCWIYTETm.jpg","2","",""
"2023-12-07T04:28:57.000Z","text","Ning Ning is my ultimate bias right now her c*nty-ness and her aegyo sal makeup needs to land her in gag city right now!!","","","","",""
"2023-12-07T02:42:39.000Z","text","In gag city waiting for messiah’s arrival… #PinkFriday2","","","1","",""
"2023-12-07T00:52:46.000Z","text","agree","","","1","",""
"2023-12-06T21:42:35.000Z","text","he needs to fire his entire PR team bc who let him say this","","","2","",""
"2023-11-29T19:07:45.000Z","text","He needs to have more of a glass half full mentality","","","1","","1"
"2023-11-29T17:02:30.000Z","image","not a restaurant but even better:Using only a restaurant, tell us where you went to college  twitter.com/avidan/status/…","","https://pbs.twimg.com/media/GAHex_6aoAAnfYF?format=jpg&name=medium,https://pbs.twimg.com/media/GAFRPDBa0AADyto?format=jpg&name=360x360","1","",""
"2023-11-29T15:31:48.000Z","text","Rosamund Pike needs to be in the new season of BLL she would fit in with those women so welll","","","","",""
"2023-11-29T05:17:41.000Z","text","who??","","","","","1"
"2023-11-29T04:56:04.000Z","image"," and i really enjoyed saltburn tonight <3 oh and we're dating now btw","","https://pbs.twimg.com/media/F_3p1KIXwAASMxo?format=jpg&name=900x900","","",""
"2023-11-28T20:46:30.000Z","text","It’s amazing what the human body can do under the influence of drugs","","","1","",""
"2023-11-28T02:38:47.000Z","text","Launched a public main account so doughgirl will now be private…will stay tweeting insane things but just not out loud…","","","1","",""
